,Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
248,,1,951,838,756,867,777,716,638,679,740,698,672,606,646
249,,156,104,69,85,106,97,76,92,113,95,99,79,86,158
250,,14,12,5,4,8,14,1,1,3,1,1,2,0,3
251,,199,182,156,144,154,132,121,115,121,119,144,130,113,131
252,,1,3,0,2,1,1,3,0,1,2,2,1,1,0
253,,19,28,34,25,22,26,43,32,43,35,40,37,26,11
254,,22,21,23,35,28,24,27,21,26,24,36,18,20,4
255,,187,220,206,184,183,211,182,152,186,126,165,115,107,66
256,,432,468,417,589,503,503,437,381,261,431,429,360,260,79
257,,1,1,1,2,2,1,1,1,1,1,1,1,978,415
258,,104,89,80,106,129,123,134,86,113,133,140,122,61,22
259,,32,37,36,23,22,21,17,17,8,10,17,16,11,6
260,,420,470,425,496,460,457,463,348,402,385,428,351,278,117
261,,20,23,35,25,27,15,28,25,28,0,0,0,0,0
262,,91,59,80,62,95,85,83,233,264,0,0,0,0,0
263,,489,229,318,289,291,277,238,254,304,0,0,0,0,0
264,,549,386,507,447,534,500,382,548,567,0,0,0,0,0
265,,2,1,1,1,1,1,1,1,1,0,0,0,0,0
266,,5,3,4,4,4,4,4,4,4,0,0,0,0,0
267,,2,1,1,1,1,1,1,956,989,0,0,0,0,0
268,,0,0,0,0,0,69,56,61,77,0,0,0,0,0
269,,632,406,521,471,507,464,440,538,553,0,0,0,0,0
270,,0,4,0,0,0,0,3,1,0,0,0,0,0,0
271,,48,41,62,42,38,53,55,25,0,0,0,0,0,0
272,,63,78,76,62,37,53,75,27,0,0,0,0,0,0
273,,299,291,293,315,271,269,216,158,0,0,0,0,0,0
274,,550,800,683,527,505,607,494,209,0,0,0,0,0,0
275,,4,3,3,3,3,3,2,1,0,0,0,0,0,0
276,,196,199,156,157,194,203,174,99,0,0,0,0,0,0
277,,23,26,20,21,14,26,19,12,0,0,0,0,0,0
278,,381,375,365,333,308,335,314,162,0,0,0,0,0,0
279,,0,0,0,1,1,1,0,2,0,0,1,0,0,0
280,,7,12,12,9,12,9,9,8,7,9,18,13,17,12
281,,14,10,21,12,12,6,11,6,11,7,9,12,4,11
282,,68,64,56,44,44,43,38,40,56,55,63,84,66,80
283,,196,182,122,158,113,95,106,84,97,92,145,100,69,99
284,,1,951,838,756,867,777,716,638,679,740,698,672,606,646
285,,156,104,69,85,106,97,76,92,113,95,99,79,86,158
286,,14,12,5,4,8,14,1,1,3,1,1,2,0,3
287,,199,182,156,144,154,132,121,115,121,119,144,130,113,131
288,,1,3,0,2,1,1,3,0,1,2,2,1,1,0
289,,19,28,34,25,22,26,43,32,43,35,40,37,26,11
290,,22,21,23,35,28,24,27,21,26,24,36,18,20,4
291,,187,220,206,184,183,211,182,152,186,126,165,115,107,66
292,,432,468,417,589,503,503,437,381,261,431,429,360,260,79
293,,1,1,1,2,2,1,1,1,1,1,1,1,978,415
294,,104,89,80,106,129,123,134,86,113,133,140,122,61,22
295,,32,37,36,23,22,21,17,17,8,10,17,16,11,6
296,,420,470,425,496,460,457,463,348,402,385,428,351,278,117
297,,20,23,35,25,27,15,28,25,28,0,0,0,0,0
298,,91,59,80,62,95,85,83,233,264,0,0,0,0,0
299,,489,229,318,289,291,277,238,254,304,0,0,0,0,0
300,,549,386,507,447,534,500,382,548,567,0,0,0,0,0
301,,2,1,1,1,1,1,1,1,1,0,0,0,0,0
302,,5,3,4,4,4,4,4,4,4,0,0,0,0,0
303,,2,1,1,1,1,1,1,956,989,0,0,0,0,0
304,,0,0,0,0,0,69,56,61,77,0,0,0,0,0
305,,632,406,521,471,507,464,440,538,553,0,0,0,0,0
306,,0,4,0,0,0,0,3,1,0,0,0,0,0,0
307,,48,41,62,42,38,53,55,25,0,0,0,0,0,0
308,,63,78,76,62,37,53,75,27,0,0,0,0,0,0
309,,299,291,293,315,271,269,216,158,0,0,0,0,0,0
310,,550,800,683,527,505,607,494,209,0,0,0,0,0,0
311,,4,3,3,3,3,3,2,1,0,0,0,0,0,0
312,,196,199,156,157,194,203,174,99,0,0,0,0,0,0
313,,23,26,20,21,14,26,19,12,0,0,0,0,0,0
314,,381,375,365,333,308,335,314,162,0,0,0,0,0,0
315,,0,0,0,1,1,1,0,2,0,0,1,0,0,0
316,,7,12,12,9,12,9,9,8,7,9,18,13,17,12
317,,14,10,21,12,12,6,11,6,11,7,9,12,4,11
318,,68,64,56,44,44,43,38,40,56,55,63,84,66,80
319,,196,182,122,158,113,95,106,84,97,92,145,100,69,99
320,,1,951,838,756,867,777,716,638,679,740,698,672,606,646
321,,156,104,69,85,106,97,76,92,113,95,99,79,86,158
322,,14,12,5,4,8,14,1,1,3,1,1,2,0,3
323,,199,182,156,144,154,132,121,115,121,119,144,130,113,131
324,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",1,3,0,2,1,1,3,0,1,2,2,1,1,0
325,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",19,28,34,25,22,26,43,32,43,35,40,37,26,11
326,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",22,21,23,35,28,24,27,21,26,24,36,18,20,4
327,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",187,220,206,184,183,211,182,152,186,126,165,115,107,66
328,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",432,468,417,589,503,503,437,381,261,431,429,360,260,79
329,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",1,1,1,2,2,1,1,1,1,1,1,1,978,415
330,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",104,89,80,106,129,123,134,86,113,133,140,122,61,22
331,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",32,37,36,23,22,21,17,17,8,10,17,16,11,6
332,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",420,470,425,496,460,457,463,348,402,385,428,351,278,117
333,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",20,23,35,25,27,15,28,25,28,0,0,0,0,0
334,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",91,59,80,62,95,85,83,233,264,0,0,0,0,0
335,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",489,229,318,289,291,277,238,254,304,0,0,0,0,0
336,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",549,386,507,447,534,500,382,548,567,0,0,0,0,0
337,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",2,1,1,1,1,1,1,1,1,0,0,0,0,0
338,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",5,3,4,4,4,4,4,4,4,0,0,0,0,0
339,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",2,1,1,1,1,1,1,956,989,0,0,0,0,0
340,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",0,0,0,0,0,69,56,61,77,0,0,0,0,0
341,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",632,406,521,471,507,464,440,538,553,0,0,0,0,0
